"Distance [mm]","By [T]"
0.0, 0.0003265581553680841
6.802142423965947, 0.0006436053259792351
13.3727077083255, 0.0008352021772838336
19.943272992685053, 0.0008352021772838336
26.513838277044606, 0.0007394037516315621
33.08440356140416, 0.001026799028588432
39.65496884576372, 0.001026799028588432
46.225534130123265, 0.0012662950927191385
52.796099414482825, 0.001825119242357509
59.36666469884237, 0.0020550354639229385
65.93722998320193, 0.0014670156036095672
72.50779526756148, 0.0012320813692718868
79.07836055192104, 0.0005560181939542885
85.6489258362806, -0.0001467316856521017
92.21949112064016, -0.0008652198780442766
98.79005640499969, -0.0019190025602194294
105.36062168935925, -0.001990851379458647
111.93118697371881, -0.0013608626850499794
118.50175225807837, -0.0009639834930619817
125.0723175424379, -0.0009370686972834941
132.15487492687743, -0.0024582108417480764
137.83619077425598, -0.006400520139198895
144.6560153704966, -0.009514791302742465
148.42769050775235, -0.021289307372218347
150.99618420982014, -0.034220475385700666
152.94744299123604, -0.042002660493564214
157.41315186415574, -0.025042374705789128
158.62202210045564, -0.00965738649902087
159.2904562311156, 0.007474945440945957
157.92514396423567, -0.037436268870805145
161.08242858139548, 0.02386234143722099
162.85306792750535, 0.04194869318639072
164.9934793458952, 0.05548101912999012
166.48678963779508, 0.06811762979374067
171.2041185598994, 0.050537858381580314
169.5729642410549, 0.06530754264127356
173.3702389833146, 0.03470841761498314
178.1346099146143, 0.062116922853576506
178.6821570216443, 0.04562815105165233
177.33817775893436, 0.03316717083493098
181.2207845178741, 0.08361994391818423
182.01721667355403, 0.10016725920245148
185.10339127681385, 0.10640506724610505
187.49268774385368, 0.07089426352772604
186.89536362709373, 0.09059832701347756
188.6873359773736, 0.04496953687529287
190.87752440549346, 0.019245530733750182
191.5459585361534, -0.00917983895019392
193.33793088643327, -0.035450569530924125
194.2623610671332, -0.0604087313422238
196.65165753417304, -0.07879723914618048
203.7199929158326, -0.06456141568975848
203.91910095475257, -0.04429543614750897
202.72445272123264, -0.0853545273363348
208.9963559472122, -0.0676007981480693
208.21983459542426, -0.05040950455802834
209.6534124756482, -0.0952257111612913
210.3901122196521, -0.1269199816321797
212.52056823609595, -0.1525394458409669
218.0159501102876, -0.12607444648005345
217.35889358185165, -0.17030655639662506
219.74819004889147, -0.09502214710982981
218.55354181537157, -0.15340254403779607
221.4121643741514, -0.06982586864483681
223.5454647911512, -0.04624915380209155
227.55606957511097, -0.039694374618323425
230.27163551769198, -0.055356478012221044
234.74102537956648, -0.040567174306512244
235.6626111597104, -0.025045361618153628
233.38709071491056, -0.05693124849104575
238.06612962953025, -0.008660195849777341
239.26077786305015, 0.013549249901769977
239.92921199371008, 0.04058881172510753
241.55052031063, 0.06909915309199524
242.74516854414995, 0.09513159975193966
245.53268108902975, 0.1135933705423714
251.61969827886932, 0.08943916606308489
249.31573382850948, 0.12489700186886779
252.52635095609426, 0.06850182139661701
252.1316903789493, 0.11267399891659607
254.21379158594115, 0.06304040447076528
256.9614825230369, 0.0868448534598251
259.47024381342874, 0.14999487152782703
