"Time [ns]","Distance [mm]","Bx [T]"
16000000,69.300528,-8.66189605674829e-05
16000000,69.825532,-8.68253496956329e-05
16000000,70.350536,-8.70786824475909e-05
16000000,70.87554,-8.73320151995487e-05
16000000,71.400544,-8.75853479515067e-05
16000000,71.925548,-8.78386807034646e-05
16000000,72.450552,-8.80568818702267e-05
16000000,72.975556,-8.81808582739906e-05
16000000,73.50056,-8.83048346777544e-05
16000000,74.025564,-8.84288110815183e-05
16000000,74.550568,-8.85527874852822e-05
16000000,75.075572,-8.87333154660411e-05
16000000,75.600576,-8.87473359678962e-05
16000000,76.12558,-8.87613564697512e-05
16000000,76.650584,-8.87753769716063e-05
16000000,77.175588,-8.87893974734613e-05
16000000,77.700592,-8.75675062544071e-05
16000000,78.225596,-8.68773831846461e-05
16000000,78.7506,-8.61872601148851e-05
16000000,79.275604,-8.54971370451241e-05
16000000,79.800608,-8.48070139753631e-05
16000000,80.325612,-8.4116890905602e-05
16000000,80.850616,-8.30120808625718e-05
16000000,81.37562,-8.20832842992077e-05
16000000,81.900624,-8.11544877358436e-05
16000000,82.425628,-8.02256911724795e-05
16000000,82.950632,-7.92968946091155e-05
16000000,83.475636,-7.81739505588371e-05
16000000,84.00064,-7.69633485210901e-05
16000000,84.525644,-7.57527464833432e-05
16000000,85.050648,-7.45421444455963e-05
16000000,85.575652,-7.33315424078495e-05
16000000,86.100656,-6.97577060926575e-05
16000000,86.62566,-6.7328767499246e-05
16000000,87.150664,-6.48998289058345e-05
16000000,87.675668,-6.24708903124228e-05
16000000,88.200672,-6.00419517190113e-05
16000000,88.725676,-5.67217451188294e-05
16000000,89.25068,-5.39922826850624e-05
16000000,89.775684,-5.1262820251295e-05
16000000,90.300688,-4.85333578175278e-05
16000000,90.825692,-4.58038953837607e-05
16000000,91.350696,-4.27288615341494e-05
16000000,91.8757,-3.949390286595e-05
16000000,92.400704,-3.62589441977508e-05
16000000,92.925708,-3.30239855295512e-05
16000000,93.450712,-2.97890268613519e-05
16000000,93.975716,-2.61109815677505e-05
16000000,94.50072,-2.24481695032543e-05
16000000,95.025724,-1.87853574387582e-05
16000000,95.550728,-1.51225453742619e-05
16000000,96.075732,-1.1459733309766e-05
16000000,96.600736,6.83864777075196e-06
16000000,97.12574,1.33483172020317e-05
16000000,97.650744,1.98579866333111e-05
16000000,98.175748,2.63676560645905e-05
16000000,98.700752,3.28773254958699e-05
16000000,99.225756,4.29067542136925e-05
16000000,99.75076,4.93525533457097e-05
16000000,100.275764,5.57983524777268e-05
16000000,100.800768,6.22441516097443e-05
16000000,101.325772,6.86899507417611e-05
16000000,101.850776,7.61440586021722e-05
16000000,102.37578,8.33323970679018e-05
16000000,102.900784,9.05207355336314e-05
16000000,103.425788,9.77090739993609e-05
16000000,103.950792,0.00010489741246509
16000000,104.475796,0.000112598309168719
16000000,105.0008,0.000120066084315507
16000000,105.525804,0.000127533859462295
16000000,106.050808,0.000135001634609084
16000000,106.575812,0.000142469409755873
16000000,107.100816,0.000149937184902661
16000000,107.62582,0.000167103642491285
16000000,108.150824,0.0001774838817947
16000000,108.675828,0.000187864121098116
16000000,109.200832,0.00019824436040153
16000000,109.725836,0.000208624599704945
16000000,110.25084,0.000310676733892518
16000000,110.775844,0.000315668189176576
16000000,111.300848,0.000320659644460635
16000000,111.825852,0.000325651099744694
16000000,112.350856,0.000330642555028752
16000000,112.87586,0.000341318555724359
16000000,113.400864,0.00034322974344049
16000000,113.925868,0.00034514093115662
16000000,114.450872,0.000347052118872751
16000000,114.975876,0.000348963306588881
16000000,115.50088,0.000345584608668487
16000000,116.025884,0.000339065026469985
16000000,116.550888,0.000332545444271482
16000000,117.075892,0.00032602586207298
16000000,117.600896,0.000319506279874477
16000000,118.1259,0.000520420238528237
16000000,118.650904,0.000464154852151232
16000000,119.175908,0.000407889465774225
16000000,119.700912,0.000351624079397224
16000000,120.225916,0.000295358693020217
16000000,120.75092,0.000207960497255043
16000000,121.275924,0.000101284659636776
16000000,121.800928,-5.39117798148596e-06
16000000,122.325932,-0.000112067015599742
16000000,122.850936,-0.000218742853218015
16000000,123.37594,-2.18673046323472e-05
16000000,123.900944,-0.000245431236953268
16000000,124.425948,-0.000468995169274213
16000000,124.950952,-0.000785818355127439
16000000,125.475956,-0.00110879133426894
16000000,126.00096,-0.000111056486301169
16000000,126.525964,-0.000370304279990166
16000000,127.050968,-0.000629552073679177
16000000,127.575972,-0.00088879986736816
16000000,128.100976,-0.00114804766105716
16000000,128.62598,-0.00221692796636452
16000000,129.150984,-0.0011363349624541
16000000,129.675988,-5.57419585436915e-05
16000000,130.200992,0.000851410303597964
16000000,130.725996,0.00114246789249656
16000000,131.251,0.00164623358564678
16000000,131.776004,0.00182593692163335
16000000,132.301008,0.00200564025761994
16000000,132.826012,0.00218534359360651
16000000,133.351016,0.00272310585628762
16000000,133.87602,0.00303492305673157
16000000,134.401024,0.00356905895376371
16000000,134.926028,0.00417357673262134
16000000,135.451032,0.00511248305446154
16000000,135.976036,0.00680126341428562
16000000,136.50104,0.00203812954992866
16000000,137.026044,0.0068909593128898
16000000,137.551048,0.0112708614364831
16000000,138.076052,0.0111579509860811
16000000,138.601056,0.0110450405356792
16000000,139.12606,0.0109321300852772
16000000,139.651064,0.0125092407882079
16000000,140.176068,0.0113029791309305
16000000,140.701072,0.0100967174736531
16000000,141.226076,0.00977607902110127
16000000,141.75108,0.00855670437389433
16000000,142.276084,0.00731031552353092
16000000,142.801088,0.00596195971457246
16000000,143.326092,0.00490697062006824
16000000,143.851096,0.00316314267607968
16000000,144.3761,0.00206710678350303
16000000,144.901104,-0.000128103772126291
16000000,145.426108,0.00216102702867547
16000000,145.951112,0.000320642253680319
16000000,146.476116,-0.00151974252131488
16000000,147.00112,-0.00336012729630993
16000000,147.526124,-0.00859050541529775
16000000,148.051128,-0.00467403852208363
16000000,148.576132,-0.000757571628869203
16000000,149.101136,0.00315889526434512
16000000,149.62614,0.00779170443786789
16000000,150.151144,0.00952023590259521
16000000,150.676148,0.0112487673673226
16000000,151.201152,0.01297729883205
16000000,151.726156,0.0210474094341472
16000000,152.25116,0.0281290892787553
16000000,152.776164,0.0178834285449087
16000000,153.301168,0.0364001133237716
16000000,153.826172,0.0444120054069399
16000000,154.351176,0.0459594096773716
16000000,154.87618,0.0475068139478033
16000000,155.401184,0.0538490976219299
16000000,155.926188,0.0502689616076628
16000000,156.451192,0.0466888255933957
16000000,156.976196,0.0431086895791284
16000000,157.5012,0.0421373109608367
16000000,158.026204,0.0391717527150664
16000000,158.551208,0.0361771299081774
16000000,159.076212,0.0331553473402204
16000000,159.601216,0.0304032945944311
16000000,160.12622,0.0270041999604277
16000000,160.651224,0.024035270912524
16000000,161.176228,0.0200128578152782
16000000,161.701232,0.0233563018704872
16000000,162.226236,0.0182342754669622
16000000,162.75124,0.0131122490634373
