"Time [ms]","Fx [N]","Fy [N]"
0,3.58877010409377e-05,-50.0416679475857
0.5,9.46022275050474,-48.7444675917565
1,14.0888688113593,-46.3933864210986
1.5,16.0411174487432,-43.9499038878274
2,16.6379496157049,-41.6207252564951
2.5,16.6237506217611,-39.3233550590589
3,16.3884449327953,-37.0418834879539
3.5,16.1208552789277,-34.9475681281081
4,15.902841709144,-33.338335505655
4.5,15.7624493853716,-32.489644897167
5,15.7019135313998,-32.5075571099435
5.5,15.7115827382355,-33.2525935284588
6,15.7765772386532,-34.3658980203121
6.5,15.8800032028842,-35.3865055903579
7,16.0046827415773,-35.9130162161858
7.5,16.1343062173906,-35.7463524226471
8,16.254363987073,-34.9580407333632
8.5,16.3529496718353,-33.8573277086801
9,16.4214110833151,-32.8693332159914
9.5,16.4547844235479,-32.3705335921329
10,16.4519469878683,-32.5441871960175
10.5,16.4154474333861,-33.3106772960343
11,16.3510117500217,-34.3591021742256
11.5,16.2667687377768,-35.2677506794498
12,16.1722809894786,-35.6671514752506
12.5,16.077496097822,-35.3831459349186
13,15.9917409400795,-34.505108208286
13.5,15.9228676661637,-33.353085330731
14,15.8766277516409,-32.3563058641084
14.5,15.8563092624678,-31.8894279048307
15,15.8626331370281,-32.1291028380164
15.5,15.8938757951614,-32.9857246586669
16,15.9461720198856,-34.13655574639
16.5,16.013952392858,-35.1477207723206
17,16.0904775616933,-35.6386221436824
17.5,16.1684394275532,-35.4261173480569
18,16.2406006752392,-34.5935059740417
18.5,16.3004368263037,-33.4580615146646
19,16.3427321432122,-32.4495567759183
19.5,16.364069059023,-31.9461887500562
20,16.3631481734809,-32.1305427897623
20.5,16.3408877350774,-32.9205494963791
21,16.3002785461384,-34.0017195144567
21.5,16.2460074225484,-34.9482433242889
22,16.183900571983,-35.3865970486353
22.5,16.1202672562783,-35.139066979946
23,16.0612360372085,-34.2922922221732
23.5,16.0121681040313,-33.1645883203046
24,15.9772080442631,-32.1845039237488
24.5,15.9590001229739,-31.7269966313133
25,15.9585676539321,-31.9698287856078
25.5,15.9753325953375,-32.8250832784073
26,16.0072457498849,-33.9720229174242
26.5,16.0510030074758,-34.9788168174112
27,16.1023336371561,-35.4667152390832
27.5,16.1563547973637,-35.2540352485961
28,16.2079860242654,-34.4250195308565
28.5,16.2524066692979,-33.2973099739057
29,16.2855214789463,-32.3004835486164
29.5,16.3043820662006,-31.8120481978368
30,16.3075032899214,-32.0135251014037
30.5,16.2950195733413,-32.8215538196393
31,16.2686480736723,-33.9202871832034
31.5,16.2314587973196,-34.8826452446309
32,16.1874873769481,-35.3340537939457
32.5,16.1412541588565,-35.0960682200575
33,16.0972656529052,-34.2549746256037
33.5,16.0595684724296,-33.1291283561026
34,16.031404790022,-32.1474838911452
34.5,16.0149899011006,-31.685708166579
35,16.0114063096841,-31.9224871055277
35.5,16.0205926456826,-32.7709363713131
36,16.0414029739923,-33.9113515511543
36.5,16.0717204444354,-34.9128324024172
37,16.1086221999793,-35.3973722162844
37.5,16.1486019311192,-35.183781952608
38,16.1878562115755,-34.3565158888755
38.5,16.2226290109253,-33.2331417341226
39,16.2495890814323,-32.2429010942094
39.5,16.2661947988465,-31.7627537719572
40,16.2709891475183,-31.9735260401252
40.5,16.263770217448,-32.7910919018572
41,16.245601245413,-33.8988462603513
41.5,16.2186545990511,-34.8690316937348
42,16.1859175407926,-35.3265377416657
42.5,16.1508141554155,-35.0925684634984
43,16.1168097310093,-34.2532670920713
43.5,16.0870583556076,-33.1270569567764
44,16.064134610829,-32.1431536851374
44.5,16.0498637123426,-31.6776436278285
45,16.0452406575559,-31.9097425893256
45.5,16.0504154776865,-32.7531511180787
46,16.064721592482,-33.8887471969997
46.5,16.0867350756277,-34.8861564436785
47,16.1143675907727,-35.3677957028702
47.5,16.1450066124118,-35.1527634585827
48,16.1757169742897,-34.3256462460988
48.5,16.2035059902021,-33.2039849737833
49,16.2256339265248,-32.2168465230255
49.5,16.2399301053007,-31.7408922503159
50,16.2450611736972,-31.9565605776273
50.5,16.240698611551,-32.7792889748042
51,16.2275489871958,-33.8920301675432
51.5,16.2072387320152,-34.8666201949698
52,16.1820768425948,-35.3276135363592
52.5,16.1547441274714,-35.0959780775535
53,16.1279687511931,-34.2577366813991
53.5,16.1042421521127,-33.1313135406739
54,16.0856099971921,-32.1460404238145
54.5,16.0735473291639,-31.6782188872232
55,16.068904741723,-31.9073545360647
55.5,16.0719007238636,-32.7474822315845
56,16.0821371127662,-33.879826102404
56.5,16.0986272525657,-34.8743375675998
57,16.1198430390861,-35.3537101515051
57.5,16.1437991546007,-35.137246963836
58,16.168194026637,-34.3096518237339
58.5,16.1906155191795,-33.1884889586498
59,16.2087986308779,-32.2027568370005
59.5,16.2209002048128,-31.7289671419842
60,16.2257407246523,-31.947344742976
