"Time [ms]","Fx [N]","Fy [N]"
0,0.00150114238049174,-34.7502904984158
0.5,6.59093273540994,-33.8439564739928
1,9.34329664506818,-32.4624331511481
1.5,10.3331906395876,-31.1929646287956
2,10.5810224253389,-29.9999866268459
2.5,10.553479062192,-28.7597744860077
3,10.449553691141,-27.4907112173416
3.5,10.3478115833223,-26.3631215171839
4,10.2758654224868,-25.6024087073921
4.5,10.2406738083223,-25.3685505811161
5,10.2407840981981,-25.6695084028536
5.5,10.2709752750374,-26.3412709029621
6,10.3240500751294,-27.099349316536
6.5,10.3917399745602,-27.6397304962789
7,10.4654269354155,-27.7493524203673
7.5,10.5368574885304,-27.383237040127
8,10.5988251767593,-26.6785421187909
8.5,10.6457405806008,-25.9000523340184
9,10.6740136586907,-25.3378530956914
9.5,10.6822057622235,-25.1961716948783
10,10.6709499554583,-25.5157036595933
10.5,10.6426756258664,-26.1589164848037
11,10.6011979126836,-26.8637474703529
11.5,10.5512399071927,-27.3449865990902
12,10.4979469865678,-27.4044377495766
12.5,10.4464339236707,-27.0076299606327
13,10.4013849670926,-26.2976693590611
13.5,10.3667126671073,-25.5408803912168
14,10.345277104985,-25.0249877828534
14.5,10.3386726979329,-24.9487631727926
15,10.3470997893531,-25.34535747161
15.5,10.3693454800448,-26.0686994946967
16,10.4028962007081,-26.8482663631731
16.5,10.4441906283065,-27.391417103651
17,10.4889979742172,-27.4943033926518
17.5,10.5328800711491,-27.1190755932587
18,10.5716747293011,-26.4079497006874
18.5,10.6019299944537,-25.6287874078534
19,10.6212276533162,-25.0729702403406
19.5,10.6283575975951,-24.9445423860327
20,10.6233356647357,-25.2829087021232
20.5,10.6072870832246,-25.948541327089
21,10.5822372820778,-26.6770732511603
21.5,10.5508569872262,-27.1810362027964
22,10.5161999178797,-27.2603100334905
22.5,10.4814545018433,-26.879038155328
23,10.4497138547625,-26.1795919750545
23.5,10.4237581617733,-25.4282344975843
24,10.4058443997711,-24.913244208904
24.5,10.3975089370762,-24.8344393556078
25,10.3994034110748,-25.2263442213175
25.5,10.411195722649,-25.9444005402958
26,10.431569286077,-26.7195518410854
26.5,10.4583418853021,-27.2604120455864
27,10.4887027775851,-27.3640480503849
27.5,10.5195397144661,-26.9931049355978
28,10.5478051026619,-26.2898440729602
28.5,10.5708602804684,-25.5217452145353
29,10.5867425382202,-24.9794472175466
29.5,10.5943193741924,-24.8659916497441
30,10.5933220539472,-25.2196426813993
30.5,10.5842768939334,-25.8997224619498
31,10.5683696945612,-26.6408264825379
31.5,10.5472820087951,-27.1546641748179
32,10.5230282659232,-27.2405826504829
32.5,10.4978057047028,-26.8625224037681
33,10.4738525709944,-26.1629860422106
33.5,10.4533013395618,-25.4086720956379
34,10.438016499446,-24.8885401835662
34.5,10.4294193831456,-24.8032553690128
35,10.4283198622148,-25.188262603852
35.5,10.4347885602694,-25.8999042720552
36,10.4481066316413,-26.6699180389087
36.5,10.4668200033433,-27.207534402027
37,10.488903326741,-27.3102096981757
37.5,10.5120123326132,-26.9407267458704
38,10.533780611161,-26.2412342621834
38.5,10.552105776564,-25.478874429308
39,10.5653743251469,-24.9437693253259
39.5,10.5725927058084,-24.8383248167956
40,10.5734178571704,-25.200118623782
40.5,10.5681049610555,-25.8878047239177
41,10.5574054556248,-26.6353919258198
41.5,10.5424501920539,-27.1541361667687
42,10.5246419338483,-27.2431001996444
42.5,10.5055637873571,-26.8661270179426
43,10.4868936082174,-26.1658074983094
43.5,10.4703061707826,-25.4090955470512
44,10.4573485284344,-24.8853398561807
44.5,10.4492881242435,-24.795684143127
45,10.446951955573,-25.1760915869187
45.5,10.4505904049278,-25.8834115353725
46,10.4598041715638,-26.6498305269958
46.5,10.4735638333562,-27.1849311869357
47,10.4903308798622,-27.2863978940762
47.5,10.5082631098895,-26.9171032911975
48,10.5254648216885,-26.21914731831
48.5,10.5402309667809,-25.4594973691034
49,10.5512382223579,-24.9279983456673
49.5,10.5576532741795,-24.8267083581676
50,10.5591532465381,-25.1928233384588
50.5,10.5558765059956,-25.8846190574759
51,10.5483361521585,-26.6357648200965
51.5,10.5373292479803,-27.1572452779189
52,10.5238632572493,-27.247941614018
52.5,10.5091029219304,-26.8716169213516
53,10.4943239668953,-26.1708856987615
53.5,10.4808518009029,-25.4128211602176
54,10.4699673890446,-24.8869707415567
54.5,10.4627772527231,-24.7947336578332
55,10.4600641634284,-25.1723586801507
55.5,10.4621514035357,-25.876982886247
56,10.4688193257919,-26.6410560732204
56.5,10.479305017345,-27.1743767613237
57,10.492396020454,-27.2747805797819
57.5,10.5066037329757,-26.9052163792293
58,10.5203799984254,-26.2077823221072
58.5,10.5323291985855,-25.4493704089788
59,10.5413717164821,-24.9196874143976
59.5,10.546831484617,-24.820606628416
60,10.5484442787536,-25.1891119268551
