"Time [ms]","Fx [N]","Fy [N]"
0,0.010560703168871,-139.027925044206
0.5,22.2684965924958,-136.223923771899
1,37.3456095333197,-128.737222905642
1.5,46.2209359208284,-117.573557801168
2,50.2433271896071,-104.07198385259
2.5,50.8260584897024,-89.4739803246862
3,49.254777003936,-74.9056482175616
3.5,46.585175331718,-61.4550762896581
4,43.6064069221124,-50.1671589436342
4.5,40.8487195146973,-41.9081743006163
5,38.6173983189491,-37.1548287299974
5.5,37.0392344821186,-35.816009529585
6,36.1117411870544,-37.190991496522
6.5,35.7488330701899,-40.1143657015679
7,35.819476786806,-43.2606809314556
7.5,36.1778778454833,-45.5132191688408
8,36.685157731208,-46.2694250295576
8.5,37.2233161124076,-45.573387977123
9,37.7027033552372,-44.0269763819518
9.5,38.0643782082778,-42.5123905253408
10,38.2787005129976,-41.8288623161826
10.5,38.3413861449919,-42.3780004655617
11,38.2680807487147,-44.0134477694631
11.5,38.088318973863,-46.1080204678407
12,37.8395428813273,-47.8089990797751
12.5,37.5616672713308,-48.3810873194444
13,37.2925097194506,-47.5038154367331
13.5,37.0642574195809,-45.4082692895218
14,36.9010279385373,-42.8000192794567
14.5,36.8174989103882,-40.5973051081818
15,36.818529151818,-39.5845073258816
15.5,36.8996621801364,-40.1135983904377
16,37.0483816797991,-41.9681470452459
16.5,37.2459674189118,-44.4424815804779
17,37.4697746675746,-46.6064811670158
17.5,37.6957322519227,-47.6555450696079
18,37.9008319672592,-47.2126880185043
18.5,38.0653760655164,-45.4678913275654
19,38.1747692783673,-43.1018713196173
19.5,38.2206909849724,-41.0236275638481
20,38.2015573431854,-40.0221173435174
20.5,38.1222706591667,-40.4650672142695
21,37.9933378698766,-42.1598102446938
21.5,37.8295061274289,-44.4290580370763
22,37.6481005880627,-46.3723588621718
22.5,37.4672550831018,-47.2130408229407
23,37.3042059241157,-46.5977926509812
23.5,37.1737836628712,-44.7341610606428
24,37.0871993297336,-42.3132134324724
24.5,37.0511894614152,-40.2467504810911
25,37.0675611067219,-39.3193742921523
25.5,37.1331608499759,-39.8883250812903
26,37.2402738382148,-41.7458322981341
26.5,37.377433095786,-44.1967150685756
27,37.5305832667546,-46.3217943924977
27.5,37.6844996767081,-47.3267291279952
28,37.8243223154927,-46.843259393693
28.5,37.937036915246,-45.0679988211492
29,38.0127321571456,-42.6859285852066
29.5,38.0454880165741,-40.6079297086159
30,38.0338022816457,-39.6226601148934
30.5,37.9805298154871,-40.0957372812653
31,37.8923772488488,-41.8310592389735
31.5,37.7790498133955,-44.1471157139091
32,37.6521770780267,-46.1389862099325
32.5,37.5241481428066,-47.0257759711545
33,37.406969751404,-46.4506040412663
33.5,37.311233229375,-44.6183956356161
34,37.2452493685045,-42.2187135672437
34.5,37.2143921294446,-40.1630119314151
35,37.2206840042173,-39.2366274422888
35.5,37.2626535892588,-39.7984412675614
36,37.3354912185098,-41.6429833610158
36.5,37.4315135723501,-44.0777445911884
37,37.5409194222357,-46.1862902844386
37.5,37.6527789659188,-47.1768164664764
38,37.7561575180577,-46.6831573101509
38.5,37.8412428011225,-44.903403881003
39,37.9003347196232,-42.5232984100159
39.5,37.9285729401986,-40.4537441323461
40,37.9243187495041,-39.482733263516
40.5,37.8891640289412,-39.9746435636295
41,37.8275978615426,-41.7317207839956
41.5,37.7464065037285,-44.0705800696797
42,37.6539060496387,-46.0844030766045
42.5,37.5591072702097,-46.9905622908436
43,37.4708943923207,-46.4307696448199
43.5,37.3972743360401,-44.6089882507602
44,37.3447310312004,-42.2143332998932
44.5,37.3177080988282,-40.1583418304558
45,37.3182433663278,-39.2269284390209
45.5,37.3457851046063,-39.7799661695108
46,37.3972235646401,-41.6132748063017
46.5,37.4671637764518,-44.0357947697113
47,37.5484424426022,-46.1325544678841
47.5,37.632855541367,-47.1130865779571
48,37.7120226853576,-46.6123146048447
48.5,37.7782815089416,-44.8290801934639
49,37.825491580851,-42.4494825264691
49.5,37.8496385996065,-40.38437318332
50,37.8491643817662,-39.4213084878105
50.5,37.8249975387649,-39.9239056129538
51,37.7803105127308,-41.6934124827118
51.5,37.720067668069,-44.0453150338544
52,37.6504477928539,-46.0716478164405
52.5,37.5782212419921,-46.9887284261107
53,37.5101428620716,-46.437402680955
53.5,37.4523971743719,-44.6210308996053
54,37.4101128138694,-42.2284352910113
54.5,37.3869558504405,-40.1711849999518
55,37.3848168910422,-39.2355357714929
55.5,37.4036189860551,-39.7819662856945
56,37.4412828243325,-41.6070987499849
56.5,37.4938833903268,-44.0207892490459
57,37.5560134849822,-46.1090041908746
57.5,37.6213363391411,-47.082147152775
58,37.683270468656,-46.575865817845
58.5,37.7357169977064,-44.7895165742239
59,37.7737241766495,-42.4094633477881
59.5,37.7939919972199,-40.3465570086776
60,37.7951504440209,-39.3880978798091
