"Time [ms]","Fx [N]","Fy [N]"
0,0.0120627575994472,-317.350728199858
0.5,39.8169389554993,-313.5600645415
1,70.6672174719869,-301.852918639426
1.5,91.426146203876,-281.750284139391
2,102.203234729349,-254.088421837876
2.5,104.074958018994,-220.386983651867
3,98.7793695996715,-182.552412437776
3.5,88.4114677472507,-142.800215566668
4,75.1456522691098,-103.630989945222
4.5,61.0054842228568,-67.7125382636886
5,47.6931532413389,-37.5971086022441
5.5,36.4832998829618,-15.3064781015515
6,28.1790077985262,-1.90580717213885
6.5,23.1223798150814,2.7761364082384
7,21.2483982124589,0.153256521001439
7.5,22.1687877275441,-7.42546649986203
8,25.2722222391169,-17.2279509929857
8.5,29.8281848780693,-26.7755345987137
9,35.0837674745699,-34.3690834478375
9.5,40.3453073615332,-39.3447220189566
10,45.0396470708866,-41.9925403209516
10.5,48.7526492933538,-43.189180767479
11,51.2451554138683,-43.893420961295
11.5,52.4486659900052,-44.6963052914995
12,52.4445451136262,-45.5885742409118
12.5,51.4314736494656,-46.0195127337757
13,49.6862199145329,-45.2068494172452
13.5,47.522624139823,-42.5605703859462
14,45.2530996089887,-38.041084180862
14.5,43.1560533894748,-32.2998301147938
15,41.4515477462977,-26.5370744997404
15.5,40.2863842739178,-22.1236738009071
16,39.7287109205588,-20.1277420139675
16.5,39.7713220726583,-20.9270979223814
17,40.3421108682371,-24.0585584411265
17.5,41.3196761203443,-28.3668118978343
18,42.5518868506106,-32.4024343947647
18.5,43.8752411320086,-34.9238668355018
19,45.1330789344879,-35.3181469931874
19.5,46.1910674543211,-33.7853339239953
20,46.9488179096275,-31.2205394578515
20.5,47.3469669551624,-28.8414936306142
21,47.3695247691021,-27.705242575485
21.5,47.0417254143999,-28.2985126062753
22,46.4239897647128,-30.3569497405386
22.5,45.6029076080794,-32.98013453198
23,44.6803467926531,-34.9957441434998
23.5,43.761890466617,-35.4308507126522
24,42.9457820864743,-33.9075104698985
24.5,42.313425292559,-30.8090570672073
25,41.9222575342186,-27.1516226534813
25.5,41.8015200412368,-24.2086431331854
26,41.9511187259109,-23.0311359005111
26.5,42.3434502014249,-24.0470039002265
27,42.9277898467541,-26.8930073492173
27.5,43.6366305587026,-30.5446235789748
28,44.3932343119708,-33.6955343333029
28.5,45.1196137717689,-35.2432744695657
29,45.7441880599282,-34.6970162811624
29.5,46.2084405326418,-32.3530592809243
30,46.4720320751644,-29.1720687772356
30.5,46.5159787629189,-26.4056976695924
31,46.3436788283469,-25.1155834268794
31.5,45.9797631216735,-25.7684495110778
32,45.4669364764817,-28.0616308693852
32.5,44.8611614197715,-31.045048002531
33,44.2256929672743,-33.4922198125299
33.5,43.624584139149,-34.3776719888674
34,43.1163288293318,-33.277444127625
34.5,42.7482814927391,-30.5388479030806
35,42.5523926207963,-27.1539188747745
35.5,42.5426383346396,-24.3843931187003
36,42.7143250374854,-23.2811933625114
36.5,43.0452446111037,-24.2819576778189
37,43.4984697816249,-27.0405748314143
37.5,44.0264339925181,-30.5542769360843
38,44.5758463392308,-33.5403358426683
38.5,45.0929505580443,-34.9191580276823
39,45.5286409497512,-34.2199513961381
39.5,45.842987527468,-31.7546639361129
40,46.0087886750917,-28.4942981037248
40.5,46.0138566495789,-25.6952317919989
41,45.8618470650767,-24.4184800244194
41.5,45.571566630375,-25.1255273522706
42,45.1748299232537,-27.5049240615655
42.5,44.7130767063284,-30.5955312832484
43,44.2330912486842,-33.1588662307338
43.5,43.7822656863123,-34.1577772472015
44,43.4039027149778,-33.158045695459
44.5,43.1330468275469,-30.4989879879295
45,42.9932658595309,-27.1674518022485
45.5,42.9946852977237,-24.4230201958674
46,43.1334259066863,-23.317419981561
46.5,43.3924351839792,-24.2917042827633
47,43.7435586547466,-27.0052298839449
47.5,44.1505856233535,-30.4620496362151
48,44.5729340569205,-33.3868421115039
48.5,44.9696099121105,-34.7072482901268
49,45.3030801627807,-33.9588567793639
49.5,45.5427267001465,-31.4585934391025
50,45.6675928038397,-28.1806592749167
50.5,45.6681918731935,-25.3826692279881
51,45.5472202362894,-24.1249289734073
51.5,45.3191039462478,-24.866464871531
52,45.0084128299838,-27.2919699683521
52.5,44.6472874596994,-30.4355091399619
53,44.2721336083116,-33.0533852079629
53.5,43.9199271579781,-34.1033437022654
54,43.6245232284582,-33.1466634571648
54.5,43.413364320055,-30.5191629921043
55,43.3049305006943,-27.205483438037
55.5,43.3071778592338,-24.464441004008
56,43.4170865396947,-23.3484384640107
56.5,43.6213084435132,-24.3005125131011
57,43.8977880736981,-26.9830570809165
57.5,44.2181429795387,-30.4038725258025
58,44.5505390117945,-33.2916995715232
58.5,44.8627776679103,-34.5781477476967
59,45.1253200744953,-33.8022992592318
59.5,45.3139952123837,-31.2837793831671
60,45.4121721874601,-27.9984651423818
