"Time [ms]","Fx [N]","Fy [N]"
0,-0.00565013852888989,-148.811558641939
0.5,23.6782274951098,-145.896157764499
1,39.8412877869538,-138.019430133454
1.5,49.415224433086,-126.193837074058
2,53.7624389396535,-111.829179836847
2.5,54.3564647713688,-96.2345093990452
3,52.569269874055,-80.5771135554875
3.5,49.5500026996433,-65.9732442860613
4,46.1738078106646,-53.5114256177825
4.5,43.040048747204,-44.1376053287287
5,40.5018029087352,-38.4417993869916
5.5,38.7119673701489,-36.4525085628798
6,37.6750165722215,-37.5533693488471
6.5,37.2969071964404,-40.5903848612338
7,37.4285680915825,-44.1602077792186
7.5,37.9007340157264,-46.9933191351442
8,38.5495744990449,-48.3018783576037
8.5,39.2336903026641,-47.9685149077231
9,39.8436922557652,-46.507468382865
9.5,40.3058493215933,-44.812354500492
10,40.581305531076,-43.7836893581487
10.5,40.6622216158092,-43.9737963452594
11,40.5659826398497,-45.3795772058653
11.5,40.3283904715218,-47.4573049566297
12,39.9965663300095,-49.349364394877
12.5,39.6221359339636,-50.2327055746825
13,39.2551509056745,-49.6531609234344
13.5,38.9390976526742,-47.7160313916075
14,38.7072409569515,-45.0590197017755
14.5,38.5804333363368,-42.6173801873907
15,38.5663937875877,-41.2710452676097
15.5,38.6603324644426,-41.5089618381712
16,38.846688857321,-43.2395646374513
16.5,39.1016768713384,-45.8206484554024
17,39.3963003444855,-48.2981533457196
17.5,39.6995158485654,-49.7635511758122
18,39.9812649156873,-49.6941250810621
18.5,40.215158302835,-48.1468226091127
19,40.3806542404406,-45.7321151726143
19.5,40.4646206453718,-43.3781324353944
20,40.4622068641725,-41.9752540133701
20.5,40.376980570806,-42.0368226548248
21,40.2203206706531,-43.5053328037641
21.5,40.0101060484124,-45.7777660050336
22,39.768804162199,-47.9399649372818
22.5,39.5211349329499,-49.1200643957693
23,39.2915486238364,-48.8255379525117
23.5,39.1017934427722,-47.1347325553168
24,38.9688454395354,-44.6694307390768
24.5,38.9034254641119,-42.3587284906704
25,38.9092430057559,-41.0843459997433
25.5,38.9830023558514,-41.3428951583414
26,39.115105345606,-43.054257346872
26.5,39.290907417179,-45.5895020205519
27,39.4923422441651,-48.0079785184575
27.5,39.6997253783842,-49.4133444936195
28,39.8935698864045,-49.2928607637062
28.5,40.0562812204808,-47.7106403250367
29,40.1736297351969,-45.2812648668612
29.5,40.2359186252859,-42.9339967757494
30,40.23877301942,-41.5577120401982
30.5,40.1834809889877,-41.6621501910819
31,40.0768314493988,-43.1847615838404
31.5,39.9304271242586,-45.516749810718
32,39.759505160747,-47.7381324821641
32.5,39.5813661144745,-48.9717798242541
33,39.4135782725811,-48.7209441903079
33.5,39.2721700543699,-47.0611227106381
34,39.170033497958,-44.6127792803244
34.5,39.1157307972088,-42.3052165971034
35,39.1128294120096,-41.0217325913479
35.5,39.1598054906216,-41.2616138876305
36,39.250471239987,-42.9481567419504
36.5,39.3748185881538,-45.4561870575697
37,39.5201401812269,-47.8487531806348
37.5,39.6722896213148,-49.2327926549047
38,39.8169660597766,-49.0981339290251
38.5,39.9409385732792,-47.5105430999846
39,40.0331488509519,-45.0852412096577
39.5,40.0856388429116,-42.7511217953526
40,40.0942447169098,-41.3957859908449
40.5,40.0589894891339,-41.5269748445718
41,39.9841074504561,-43.079656442152
41.5,39.877654957088,-45.4423391637732
42,39.7507075159867,-47.692406786
42.5,39.6162055452539,-48.950408851401
43,39.4875754941556,-48.7177971550842
43.5,39.377300574676,-47.0689338770001
44,39.2956308402125,-44.6238875851635
44.5,39.2495993178631,-42.3123050571776
45,39.2424544333378,-41.0184975198395
45.5,39.2735441325353,-41.2433044201815
46,39.3386138949098,-42.91194054524
46.5,39.4304273955871,-45.401316685551
47,39.5395952317545,-47.7765274803853
47.5,39.6555034109635,-49.1463270146171
48,39.7672589875448,-49.0019702664354
48.5,39.8645999755919,-47.4101438702574
49,39.9387363110403,-44.9864203383511
49.5,39.9830908366268,-42.6594687667758
50,39.9938962255369,-41.3161373033613
50.5,39.9705859652007,-41.4629801252743
51,39.9159092494301,-43.0334755586326
51.5,39.8357126657073,-45.4144928696745
52,39.7383698862545,-47.6817881814341
52.5,39.6338979507511,-48.9544476896362
53,39.5328603308933,-48.7327551779451
53.5,39.4452043707273,-47.0902981198752
54,39.3791984869278,-44.6468208762358
54.5,39.340615968057,-42.3321093032268
55,39.3322619224379,-41.0310459865808
55.5,39.3538723373817,-41.2454038491106
56,39.4023486184062,-42.9015920147715
56.5,39.4722448051467,-45.3778547456871
57,39.556407575071,-47.7406291917469
57.5,39.6466801251213,-49.0998949351586
58,39.7346094596333,-48.9479049989051
58.5,39.8121269606358,-47.3520314771154
59,39.8721902293927,-44.9281669245943
59.5,39.9093729261294,-42.6049182787346
60,39.9203712601384,-41.26870886378
