"Time [ms]","Fx [N]","Fy [N]"
0,0.000108082222814124,-78.7258466623574
0.5,14.2474405917265,-76.8313108546022
1,22.4375941312256,-72.7455333170348
1.5,26.4988722483359,-67.824910079334
2,28.0020081204882,-62.7662008389897
2.5,28.077750529435,-57.7523124418939
3,27.4759550831697,-52.8376022491807
3.5,26.6574294897352,-48.2193914625625
4,25.8809866154223,-44.2952918638149
4.5,25.2730003493972,-41.5369554112672
5,24.8777826229987,-40.2779296016531
5.5,24.6916709458963,-40.5307069409932
6,24.6849775927287,-41.9225023844042
6.5,24.8156627888315,-43.78382206889
7,25.0377359373607,-45.3594698773717
7.5,25.3064623062747,-46.0617406016022
8,25.5816749271991,-45.6681060197908
8.5,25.8299248618431,-44.3865396096751
9,26.025834537302,-42.7622526438125
9.5,26.1528069991418,-41.460391908991
10,26.2031429064814,-41.0068203930567
10.5,26.1775876671823,-41.5852480813914
11,26.0843436067068,-42.967533471035
11.5,25.9376154781054,-44.6031494513468
12,25.7557973551275,-45.8330377547696
12.5,25.5594446390096,-46.1455955709785
13,25.3691990510726,-45.3764942966471
13.5,25.2038420073594,-43.775556618032
14,25.0786402480771,-41.9147904540779
14.5,25.0041175981819,-40.4724593601916
15,24.9853418870392,-39.9755340803782
15.5,25.0217624541245,-40.5988796669128
16,25.1075787125749,-42.0979629321603
16.5,25.2325711117357,-43.9009474569038
17,25.383288064065,-45.3252215023393
17.5,25.5444589464973,-45.8359071241087
18,25.7004943972555,-45.2478686466726
18.5,25.8369389233503,-43.7943005636342
19,25.9417543678884,-42.0358970932438
19.5,26.0063331747036,-40.6454430518035
20,26.0261655646919,-40.1501869480884
20.5,26.0011136093504,-40.7304173164833
21,25.9352771843996,-42.151134055556
21.5,25.8364710785213,-43.8528166526103
22,25.7153672862521,-45.1664828729971
22.5,25.584388586241,-45.5707339719013
23,25.4564647689895,-44.8924390578732
23.5,25.3437771319224,-43.3742492479699
24,25.2566170331803,-41.5830228246992
24.5,25.202469507764,-40.1940440652178
25,25.1854050255633,-39.7334027188517
25.5,25.2058256919076,-40.3769265624746
26,25.2605723264034,-41.8825006285452
26.5,25.3433617768986,-43.681694484545
27,25.4454941569354,-45.0957969818341
27.5,25.5567499311774,-45.5938559762148
28,25.6663871181071,-44.9942817386467
28.5,25.7641478021134,-43.5331234950291
29,25.8411883867113,-41.7730382809952
29.5,25.8908576217962,-40.3877963468963
30,25.909259415418,-39.9046773393344
30.5,25.8955538313207,-40.5031623515568
31,25.8519699925531,-41.9467910175887
31.5,25.7835289750282,-43.6741591362589
32,25.6975020910984,-45.0142230661996
32.5,25.6026575737967,-45.4435812720022
33,25.5083726534789,-44.7873637836192
33.5,25.4237040915031,-43.2869037143568
34,25.3565149906607,-41.5082618322331
34.5,25.3127477023505,-40.1264831657869
35,25.295913006701,-39.6679550971533
35.5,25.3068379314956,-40.3092671461453
36,25.3436835467917,-41.8094178645713
36.5,25.4022149291903,-43.6013046158591
37,25.4762822066525,-45.0076110681173
37.5,25.5584561814505,-45.4987048309028
38,25.6407544053726,-44.8941170886737
38.5,25.7153921484592,-43.4307239791772
39,25.7754953421964,-41.671655697232
39.5,25.8157176682402,-40.2907805194618
40,25.8327110054839,-39.8151171486326
40.5,25.8254080690321,-40.4235762304508
41,25.7950894288346,-41.8788932136636
41.5,25.7452249295484,-43.6187191117792
42,25.6811013209217,-44.9710255028928
42.5,25.6092714459713,-45.4114842305825
43,25.5368820062334,-44.7644435346336
43.5,25.4709525892822,-43.2706673642377
44,25.4176848575739,-41.4959036771136
44.5,25.3818759204523,-40.115158045125
45,25.3664947098867,-39.6550419737387
45.5,25.3724576824903,-40.2925985556916
46,25.3986148109975,-41.7874553941989
46.5,25.441933185127,-43.5732466581749
47,25.4978470945194,-44.9734261178686
47.5,25.5607318078143,-45.459090857964
48,25.6244530062505,-44.8503943627272
48.5,25.6829432084558,-43.3846745393124
49,25.7307583942692,-41.6253269773536
49.5,25.7635708991105,-40.2462731396281
50,25.7785582585193,-39.7743774235773
50.5,25.7746530156618,-40.3882125727582
51,25.752627137915,-41.8500325337149
51.5,25.7149978159038,-43.5969148968691
52,25.6657589468047,-44.9562239565775
52.5,25.6099627089223,-45.4030491925211
53,25.5531949922579,-44.7612354136174
53.5,25.5010031007673,-43.2711664973251
54,25.4583406959261,-41.4983647896164
54.5,25.4290916983105,-40.117780128481
55,25.4157223836237,-39.6561370825077
55.5,25.4190919455423,-40.2907437657338
56,25.4384304340673,-41.7816143337629
56.5,25.4714734078118,-43.5628503685672
57,25.5147279605886,-44.9584071690739
57.5,25.5638362465855,-45.4398692227757
58,25.6139995753365,-44.8278181037834
58.5,25.6604266279994,-43.3599224679453
59,25.6987711458445,-41.5997837379977
59.5,25.7255260980139,-40.2213893822524
60,25.7383427436434,-39.7515286821341
