"Time [ms]","Fx [N]","Fy [N]"
0,0.00426565118974598,-138.503973831469
0.5,22.1973701973835,-135.713358818087
1,37.2238072874751,-128.259088224491
1.5,46.0648816861205,-117.143518338524
2,50.069057112876,-103.698115987337
2.5,50.6473929028005,-89.1570572744177
3,49.0822768290803,-74.6418815002924
3.5,46.425757211449,-61.2391875194862
4,43.4634623769259,-49.9942672347521
4.5,40.722596555811,-41.7739484585726
5,38.5061243554852,-37.054298732639
5.5,36.9393695881457,-35.7420390625891
6,36.0192499578994,-37.1335070679888
6.5,35.6598617436674,-40.0610373052694
7,35.7309335100616,-43.1990527220155
7.5,36.0877465181425,-45.4335949756461
8,36.5925283842146,-46.1674080720035
8.5,37.1281756068171,-45.4510215152772
9,37.6055815610858,-43.8919159497019
9.5,37.9659699658488,-42.3752704814207
10,38.1795736765269,-41.699713588826
10.5,38.2418438337707,-42.2629598450427
11,38.1681858941436,-43.9129181194474
11.5,37.988032051772,-46.0169204708138
12,37.738888933156,-47.7189747593576
12.5,37.4608471961278,-48.2838351430895
13,37.191902148517,-47.3942625164512
13.5,36.9643081198322,-45.2864239664159
14,36.8020735642675,-42.6708196957798
14.5,36.7196016659823,-40.4685587718052
15,36.7213971850931,-39.4637401214293
15.5,36.8026982073534,-40.005041331327
16,36.9508521896296,-41.8710281375097
16.5,37.1472364426498,-44.3512829814001
17,37.3695184924825,-46.513063093547
17.5,37.5940555883457,-47.5523181816831
18,37.7982407583374,-47.095610643081
18.5,37.9626143951885,-45.3381319395586
19,38.0725779174345,-42.9654856733427
19.5,38.1195739818153,-40.8893591605629
20,38.1016396968664,-39.8981491661875
20.5,38.0232957276716,-40.3559567066272
21,37.8948007740669,-42.0647735594386
21.5,37.7308688600852,-44.3422583556467
22,37.5490049527028,-46.285091944159
22.5,37.367652084839,-47.1169894512337
23,37.204353691237,-46.488115632542
23.5,37.0741174728574,-44.6112468595388
24,36.9881270746277,-42.1824387142614
24.5,36.9528948482231,-40.1163450281019
25,36.9698939723809,-39.1972153239061
25.5,37.0356603191254,-39.778890595179
26,37.1423185837641,-41.648479602676
26.5,37.2784634287232,-44.1059417320068
27,37.4303112129369,-46.2293790450087
27.5,37.5830266232378,-47.2249293813288
28,37.7221180313451,-46.7278388357736
28.5,37.8347857958499,-44.939919526422
29,37.9111026060924,-42.5510552559496
29.5,37.9449098842947,-40.4748517102946
30,37.9343341679084,-39.4994578345691
30.5,37.8818639855028,-39.9869241880193
31,37.7939778797301,-41.7358658936561
31.5,37.6803700906447,-44.0597714384019
32,37.5528713965874,-46.0508929951509
32.5,37.4241984270557,-46.9287480323277
33,37.3066785549329,-46.3399405475761
33.5,37.2110878810677,-44.4946184970548
34,37.1457112237018,-42.0873121417295
34.5,37.1156939039364,-40.0322973472781
35,37.1227151497178,-39.1145203742528
35.5,37.1649798696022,-39.6894231165749
36,37.2375030023707,-41.5463768859338
36.5,37.3326476413263,-43.9879806817816
37,37.4408703505063,-46.0950574563158
37.5,37.5516194036452,-47.0762692676499
38,37.6543208205303,-46.5689544267846
38.5,37.7393734226542,-44.7764112368406
39,37.7990618336536,-42.3893023614411
39.5,37.8282917779706,-40.321280229916
40,37.8250611003572,-39.3598564986475
40.5,37.7906053823228,-39.8658712805053
41,37.7291967510861,-41.6363146142561
41.5,37.6476215371462,-43.9828229877133
42,37.5544069585077,-45.9957667636147
42.5,37.458899173617,-46.8929389730158
43,37.3703081909228,-46.3195367546217
43.5,37.2968278052633,-44.4847385980479
44,37.2449149891991,-42.0826133254327
44.5,37.2187809271002,-40.0275011901954
45,37.2201140975557,-39.1049051110812
45.5,37.248031426919,-39.6712371674437
46,37.2992393681652,-41.5171384603191
46.5,37.3683810655293,-43.9466409815172
47,37.4485436117643,-46.0420190777625
47.5,37.5318952169821,-47.0132654856245
48,37.6104123891487,-46.4988078359366
48.5,37.676642341924,-44.7027006225705
49,37.7244301569366,-42.3159738418286
49.5,37.7495304998924,-40.2522421589874
50,37.7500263822512,-39.2985972204271
50.5,37.7264959486425,-39.8151348011954
51,37.6819010986664,-41.5978621647655
51.5,37.6212126260312,-43.9572990833034
52,37.5508261408052,-45.982677704389
52.5,37.4778519208486,-46.8907408145828
53,37.4093735975083,-46.3258196340447
53.5,37.3517638316444,-44.4964858308128
54,37.3101237954362,-42.0965076051934
54.5,37.2878849822617,-40.0402469845567
55,37.2865851585973,-39.1135361316279
55.5,37.3058115816989,-39.6733804925025
56,37.3432962016245,-41.5112121317284
56.5,37.3951471714382,-43.9319690899709
57,37.4562031955075,-46.0188567467429
57.5,37.5204961063469,-46.9827349323198
58,37.581798839892,-46.4627549979318
58.5,37.6342209552319,-44.6634889358026
59,37.6727964456192,-42.2762370243583
59.5,37.6939957878088,-40.2146208757657
60,37.6960927648948,-39.2654850803165
