"Time [ms]","Fx [N]","Fy [N]"
0,0.0150744405262721,-70.9602906949431
0.5,12.8554807465939,-69.2542800784056
1,20.23321569298,-65.5742652808722
1.5,23.8895619754871,-61.1401435593128
2,25.2416593360884,-56.5776173715107
2.5,25.3088452722021,-52.0514802932699
3,24.766489811796,-47.6130103571789
3.5,24.0292335765951,-43.4435224933743
4,23.3297694585066,-39.9043838334455
4.5,22.7817105767981,-37.4218575105487
5,22.4250328584731,-36.2953612967662
5.5,22.2567181189788,-36.5330422434432
6,22.2503823656925,-37.7951394963687
6.5,22.3684294394566,-39.4753211272689
7,22.5694971072699,-40.8920348635347
7.5,22.813109812853,-41.5170825649663
8,23.0627198185499,-41.1532227986815
8.5,23.2877730122005,-39.9917553292759
9,23.4650780375498,-38.526950235147
9.5,23.5795595918207,-37.3590480370758
10,23.6244000031833,-36.9602924818677
10.5,23.6005767823197,-37.4926980849943
11,23.5158496038186,-38.7465613961921
11.5,23.3833061326261,-40.2226387244433
12,23.2196193533441,-41.326058758269
12.5,23.0431874975198,-41.5973863104249
13,22.8723198500888,-40.8921060722559
13.5,22.7236044264842,-39.4395609242577
14,22.6105576017464,-37.7585069298209
14.5,22.5426215246318,-36.4613121923895
15,22.5245485831603,-36.0214650808323
15.5,22.5561934975892,-36.5931740796521
16,22.6327181368679,-37.952036521351
16.5,22.7451953216519,-39.5795848032853
17,22.8815709240024,-40.8596164276039
17.5,23.0279084316574,-41.3115465684723
18,23.1698023525133,-40.7718861949317
18.5,23.293816044909,-39.4547462845065
19,23.388786165959,-37.8684410385427
19.5,23.4468470971108,-36.6201789501483
20,23.4640653223903,-36.1835197971995
20.5,23.4406295016413,-36.7174382498613
21,23.380605038362,-38.0060667752224
21.5,23.2913184892289,-39.5420474316964
22,23.182475777133,-40.7215327591695
22.5,23.0651332572581,-41.0762084926271
23,22.950633827203,-40.4535636440899
23.5,22.849599018047,-39.0764097847748
24,22.7710426251505,-37.4587954050646
24.5,22.7216509021452,-36.2103447135649
25,22.7052630479949,-35.8037059704175
25.5,22.7225822191407,-36.3939254919472
26,22.771145459726,-37.7587683617299
26.5,22.8455730184613,-39.38284318692
27,22.9380979235448,-40.6534860610076
27.5,23.0393449189735,-41.0936870213781
28,23.139289424296,-40.543198945208
28.5,23.2282920313918,-39.2187563354548
29,23.2980832032545,-37.6304926734349
29.5,23.342574291039,-36.3865497853614
30,23.3583966000129,-35.9605517013255
30.5,23.3451147341984,-36.510769676863
31,23.3051129518635,-37.8200309145524
31.5,23.2432008266587,-39.3792768733617
32,23.1660163810745,-40.5827866822551
32.5,23.0813158870344,-40.9604150698226
33,22.9972314809519,-40.3580503730579
33.5,22.9215581002512,-38.9972792493577
34,22.8611099836167,-37.3913943889115
34.5,22.8211725551576,-36.1497708961608
35,22.8050716883617,-35.7452983414783
35.5,22.8138869472912,-36.3336913712333
36,22.8463415512355,-37.693710404173
36.5,22.8989010663583,-39.3111626660182
37,22.9660990169028,-40.5746526525919
37.5,23.0410797914276,-41.0083788970812
38,23.1163126352007,-40.4531290301717
38.5,23.1843950701775,-39.126410133668
39,23.2388409033887,-37.538809467209
39.5,23.2747453727694,-36.2985819566358
40,23.2892402380581,-35.879136417245
40.5,23.2816900085584,-36.4382435482192
41,23.2536267054462,-37.7580120415919
41.5,23.2084622112451,-39.328530689745
42,23.1510441244555,-40.543183048591
42.5,23.0871283724561,-40.9309750299716
43,23.0228316881337,-40.3370726911437
43.5,22.9641070346063,-38.9825299934023
44,22.9162651047058,-37.3803379440198
44.5,22.8835534129311,-36.1398181938573
45,22.8688046823752,-35.7340478767664
45.5,22.8731756293408,-36.3191406226644
46,22.8960085217341,-37.6744192582411
46.5,22.9348521185999,-39.2863559044446
47,22.9856691634382,-40.5442549133876
47.5,23.043233187382,-40.9729821432381
48,23.1016829418914,-40.4138988377819
48.5,23.1551680718052,-39.0849424915849
49,23.1984957715493,-37.4969538187768
49.5,23.2276835490849,-36.2582486089781
50,23.2403403816697,-35.84210705581
50.5,23.2358330589723,-36.4060024518399
51,23.2152364488925,-37.731612881262
51.5,23.1811038214967,-39.3085098311578
52,23.1371163799376,-40.5295254819586
52.5,23.087675376295,-40.9231338957147
53,23.0374879469241,-40.3340383441241
53.5,22.9911768591287,-38.982940106701
54,22.9529247064303,-37.3826166793448
54.5,22.9261529450038,-36.1423302393343
55,22.9132388047014,-35.7352523291406
55.5,22.915285699925,-36.3177302906834
56,22.9319776487929,-37.6694328771716
56.5,22.9615561208483,-39.277253752065
57,23.0009517055622,-40.5309520881216
57.5,23.0460814004319,-40.9558379288294
58,23.09228987321,-40.3936647371001
58.5,23.1348793419956,-39.0626752805373
59,23.169648786237,-37.473903014902
59.5,23.193357494603,-36.2357298115815
60,23.2040431292272,-35.8213735381881
