"Time [ms]","Fx [N]","Fy [N]"
0,0.0488607665486745,-284.507142368129
0.5,36.188960058307,-280.962287139864
1,64.0825685058801,-270.141208842929
1.5,82.7722261935749,-251.698623557022
2,92.4680274836286,-226.443856082323
2.5,94.2305097823513,-195.784271393792
3,89.6781244364352,-161.490802874713
3.5,80.709008253945,-125.646759956596
4,69.2555628407402,-90.6142132603293
4.5,57.0870784069954,-58.8873296610414
5,45.6688377246336,-32.7868379663551
5.5,36.0794572363305,-14.0499237402593
6,28.9825730071686,-3.44482464677255
6.5,24.6447349460775,-0.558851560486856
7,22.9886664129922,-3.86403310093504
7.5,23.669839880421,-11.0727914757895
8,26.1644468386126,-19.6924470554403
8.5,29.8580468105285,-27.6124044083151
9,34.1261596642638,-33.5414879637805
9.5,38.4004939755347,-37.1627760202326
10,42.2170728772664,-38.9718358853835
10.5,45.2449588670147,-39.8751863099064
11,47.2963814217695,-40.7078576249793
11.5,48.3206980525101,-41.8515889028991
12,48.385706074714,-43.0903780692692
12.5,47.6503713472421,-43.745158737626
13,46.3331075107037,-43.0205802492133
13.5,44.679416455204,-40.4155694686674
14,42.9320963977728,-36.0262640896192
14.5,41.3064471754947,-30.6134238079499
15,39.9720513020144,-25.3994795490939
15.5,39.0418651520506,-21.6670056377909
16,38.5685803676828,-20.309503746609
16.5,38.5475579949336,-21.506471686026
17,38.9251301043694,-24.6495481003074
17.5,39.6107268824201,-28.5522314692553
18,40.4911304892148,-31.8682646975432
18.5,41.4451760492404,-33.5643282074627
19,42.3573960092006,-33.2716389126157
19.5,43.1294035516616,-31.3865775692247
20,43.6881894277765,-28.8853169359977
20.5,43.9909147526016,-26.92551043845
21,44.0261723421485,-26.3882685667012
21.5,43.8120226306116,-27.5353834284581
22,43.3913628107846,-29.9118391064948
22.5,42.8253508573082,-32.5292766969155
23,42.1856840021267,-34.2583370002673
23.5,41.5465367126938,-34.2778345098179
24,40.9769113329868,-32.4070472455133
24.5,40.5340581323936,-29.1922779332239
25,40.2584892864736,-25.7130671111204
25.5,40.1709489520793,-23.180975971758
26,40.2715149040724,-22.4835795470756
26.5,40.5408057196005,-23.8477209044651
27,40.9430666635688,-26.7509566095045
27.5,41.4307279928793,-30.1156766041489
28,41.9498939570551,-32.7126630013257
28.5,42.4461484621231,-33.6209970496743
29,42.8700645091952,-32.5697337563065
29.5,43.1818772370123,-30.031856700379
30,43.3549104717299,-27.0354936405874
30.5,43.3775109021669,-24.7651545396129
31,43.2534159096952,-24.1057035657693
31.5,43.0006373152629,-25.3033829293071
32,42.649068349809,-27.8732406616709
32.5,42.2371091736227,-30.7879735221273
33,41.8076596161679,-32.8755321517429
33.5,41.4038530962475,-33.2729838785359
34,41.064909183373,-31.7625952298517
34.5,40.8224665093288,-28.861105466954
35,40.6977207078985,-25.6275158437608
35.5,40.699629166674,-23.2623657320567
36,40.8243523904621,-22.6512741051705
36.5,41.0559829349524,-24.0269924804527
37,41.3684773053804,-26.879125934734
37.5,41.7285714861262,-30.1462384845149
38,42.0993483332335,-32.617327031637
38.5,42.4440547690985,-33.3897638822883
39,42.7297511669737,-32.209278625788
39.5,42.930416096276,-29.5625980659864
40,43.0292167847186,-26.4877844912643
40.5,43.0197707169463,-24.1750494303649
41,42.9063449993373,-23.5107310010862
41.5,42.7030484912414,-24.7386974974555
42,42.4321554866907,-27.3684508124018
42.5,42.1217560082721,-30.364848036372
43,41.8029608094101,-32.5466900066735
43.5,41.5069064271207,-33.0415765185716
44,41.2618131287191,-31.6229042550764
44.5,41.0903476851088,-28.7999080475202
45,41.0075295305446,-25.6260187098654
45.5,41.019385815037,-23.2984785591438
46,41.1225018951419,-22.7019849354998
46.5,41.3045280783066,-24.0706202580054
47,41.5455981348047,-26.8972555834032
47.5,41.8205052457144,-30.125188356107
48,42.1013861907509,-32.5490522912965
48.5,42.3606033448667,-33.2721573553135
49,42.5734986578983,-32.0458876554631
49.5,42.7207262504786,-29.3618272656938
50,42.7899417966806,-26.2616958995686
50.5,42.7767207218509,-23.937900514573
51,42.6846738831072,-23.2774054579775
51.5,42.5248122406068,-24.5231834517491
52,42.3142717197717,-27.1825067025595
52.5,42.0745452586568,-30.2169702667894
53,41.8293869487066,-32.4414613447161
53.5,41.6025618590024,-32.9794338772895
54,41.4156211716067,-31.6003228734432
54.5,41.2858868452657,-28.8099600342522
55,41.2248283396493,-25.6592309115043
55.5,41.23699742668,-23.3438904920268
56,41.3196478299407,-22.7482938944119
56.5,41.4631015380239,-24.1072984299374
57,41.6518383250761,-26.9155327144693
57.5,41.8661924482671,-30.1188118946799
58,42.0844586604471,-32.514762768989
58.5,42.2851561352788,-33.2098472748129
59,42.4491853120392,-31.9584442195276
59.5,42.5616410657914,-29.2546897839432
60,42.6131077999631,-26.1421848130127
