"Time [ms]","Fx [N]","Fy [N]"
0,0.00134568708926878,-285.158029155427
0.5,36.192667270691,-281.608100337149
1,64.1282776359742,-270.768099975398
1.5,82.847812949425,-252.287559772943
2,92.5601295166536,-226.974399328782
2.5,94.3262619240228,-196.238300833792
3,89.7665948984508,-161.855687488235
3.5,80.7821103585126,-125.917485227504
4,69.3083813998874,-90.7940959440608
4.5,57.1176960341844,-58.9872190746623
5,45.6778387124522,-32.8230336368994
5.5,36.0693085545216,-14.0413351573415
6,28.9570393005796,-3.41005937817113
6.5,24.6084029201343,-0.51388472981602
7,22.9465697425462,-3.82089152552679
7.5,23.6271218191867,-11.0393521567247
8,26.1259922175923,-19.6731146596451
8.5,29.8280553807513,-27.6092076135196
9,34.1076971822229,-33.5550903544086
9.5,38.3951147884937,-37.1930371809679
10,42.2246298478143,-39.017818897898
10.5,45.2636895448959,-39.9347831350332
11,47.3232897915104,-40.7773860760296
11.5,48.3521631749206,-41.9257352072713
12,48.418175301691,-43.1627130354879
12.5,47.6809652049708,-43.8092043261763
13,46.35998913448,-43.0711491085265
13.5,44.7018531356753,-40.4499462848816
14,42.9502385694544,-36.0448090311619
14.5,41.3209364521676,-30.6193554204189
15,39.9836134777868,-25.3978730355876
15.5,39.0510315344149,-21.6633181473684
16,38.5756176054886,-20.3081063570426
16.5,38.5525976289536,-21.5096633325802
17,38.9284085328503,-24.6573498163818
17.5,39.6128046903501,-28.5629752494308
18,40.4929723041935,-31.8797059898082
18.5,41.4480325496654,-33.5748309015999
19,42.3625141640923,-33.2809732290453
19.5,43.1376662081773,-31.3960358591822
20,43.6998212959105,-28.8971259258536
20.5,44.0053741210998,-26.9417957254457
21,44.0422826940927,-26.4100021648171
21.5,43.8283103030314,-27.5617513830139
22,43.4064895390533,-29.9403019838273
22.5,42.838493168186,-32.5563247811868
23,42.1967294057508,-34.2806688424531
23.5,41.5560330881385,-34.2935174492169
24,40.9857959432256,-32.4162175157731
24.5,40.5432724658238,-29.1971070819984
25,40.2686254030997,-25.7169966059263
25.5,40.182057511078,-23.1874981981964
26,40.2831407544663,-22.495015412963
26.5,40.5522285516068,-23.8644460832714
27,40.9536455303093,-26.7713590842992
27.5,41.4402094937234,-30.1368518964693
28,41.9585592570279,-32.7315753644787
28.5,42.4547379956029,-33.6356607514645
29,42.8795065887493,-32.5799644897581
29.5,43.1929242084961,-30.039310376153
30,43.3678236934482,-27.0429842293051
30.5,43.3919190846368,-24.775519302106
31,43.2684064663705,-24.1206572319136
31.5,43.0150520339135,-25.3228060651042
32,42.6618966191715,-27.8951803391169
32.5,42.2478340578165,-30.8093605122591
33,41.8164288576451,-32.8933430465588
33.5,41.4114123855938,-33.285404401307
34,41.0723240161302,-31.7697384926269
34.5,40.8307378606948,-28.865007223785
35,40.7074386402304,-25.6314037300926
35.5,40.7107926512775,-23.2694761431035
36,40.83641924532,-22.6636631003733
36.5,41.0681255196374,-24.0447898979082
37,41.3799412068683,-26.9005136083675
37.5,41.7389957904779,-30.1681582361949
38,42.1089218843318,-32.6366469345623
38.5,42.4534469066631,-33.4044578694701
39,42.7398431812281,-32.2191709293362
39.5,42.9419373576218,-29.5693914467466
40,43.0424273579118,-26.494365671372
40.5,43.0343156522397,-24.1843416675804
41,42.9213406469695,-23.5245366897648
41.5,42.7173728129158,-24.7569770034973
42,42.4448361752339,-27.3893162385627
42.5,42.1323121599293,-30.3852763491426
43,41.8115705378591,-32.563683818691
43.5,41.5143379191393,-33.0533284229452
44,41.2691454868834,-31.6295179380011
44.5,41.098586697363,-28.8033976090634
45,41.0172623007725,-25.6295825542659
45.5,41.0306022951297,-23.3053209303993
46,41.1346469489028,-22.7141310064175
46.5,41.3167594445508,-24.0881736041474
47,41.5571472710043,-26.9183787203285
47.5,41.8309994355073,-30.1468119326946
48,42.1110061592346,-32.5680414764891
48.5,42.3700147788996,-33.2864906307945
49,42.5835838383375,-32.0553997090197
49.5,42.7322197857774,-29.3682351953446
50,42.8031123522585,-26.2679024051702
50.5,42.7912240651171,-23.946844268721
51,42.6996377461346,-23.290901762313
51.5,42.5391251422062,-24.5412015602868
52,42.3269697225129,-27.2031626258612
52.5,42.0851525506345,-30.2372395443179
53,41.8380827522406,-32.4583400748772
53.5,41.6101112371801,-32.9911038415421
54,41.4230961007597,-31.6068738743031
54.5,41.294282666337,-28.8133907358232
55,41.2347194492737,-25.6627243818013
55.5,41.2483601363907,-23.3506373548501
56,41.3319138843338,-22.7603088397918
56.5,41.4754175063332,-24.1246787779794
57,41.6634276966101,-26.9364396085111
57.5,41.8766786813843,-30.140179656708
58,42.0940233262441,-32.5334649423154
58.5,42.2944704920564,-33.2238746023662
59,42.4591415043821,-31.9676463330019
59.5,42.5729869745255,-29.2607999313936
60,42.6261275208159,-26.1481214452834
