"Time [ms]","Fx [N]","Fy [N]"
0,0.00741146771146495,-135.335267073001
0.5,21.7877621149358,-132.641137174661
1,36.4731059083102,-125.818260718404
1.5,45.0038287754734,-116.245385045949
2,48.7883701402168,-105.218160144429
2.5,49.2559881112448,-93.5439630900173
3,47.6694541522068,-81.6842329420854
3.5,45.0460400196791,-70.0681543913171
4,42.1396519709576,-59.3202217327998
4.5,39.4585390069737,-50.2748131521406
5,37.301589882593,-43.7798059536543
5.5,35.8018829404999,-40.3915304006235
6,34.9703278956392,-40.1096066947004
6.5,34.7352674004429,-42.2822735899197
7,34.9760057584092,-45.7418888756043
7.5,35.5496119081815,-49.1358771462239
8,36.3111921852898,-51.3378245447204
8.5,37.128298742348,-51.7879831402625
9,37.8903481879399,-50.6358030132709
9.5,38.5139582466678,-48.6302346095159
10,38.9450344148277,-46.7983069205458
10.5,39.1583084049077,-46.0324702964519
11,39.154892061949,-46.7416420147485
11.5,38.9583008102783,-48.6964839223422
12,38.6093413684056,-51.1253743748705
12.5,38.1602526684101,-53.0220175527339
13,37.668520982838,-53.5450932063084
13.5,37.1908306902231,-52.3555208179105
14,36.7776270626037,-49.7610798968857
14.5,36.4687300186128,-46.6120511496426
15,36.2903371851266,-43.9869780660588
15.5,36.253600180702,-42.7881348166407
16,36.3547764243433,-43.4010727752818
16.5,36.5767853664575,-45.5484078044579
17,36.891865602085,-48.39404151091
17.5,37.2649579189822,-50.8585269938095
18,37.6574310055343,-52.025757874855
18.5,38.0308065528952,-51.486335752527
19,38.3502043230212,-49.4871576471407
19.5,38.5872911379126,-46.8307276089076
20,38.7225656932896,-44.5631924483153
20.5,38.7468426331517,-43.5706656233944
21,38.6618261068832,-44.2382762985552
21.5,38.4797026516403,-46.3022565096424
22,38.2217498918501,-48.9514869146838
22.5,37.9160539382852,-51.1394979268294
23,37.5945422064942,-51.9874271054044
23.5,37.2896449571107,-51.1236195079801
24,37.0309690011079,-48.8297268244446
24.5,36.8423773770258,-45.9370817498449
25,36.7398107756942,-43.5125575228723
25.5,36.7300701447965,-42.4536099609746
26,36.8106315399187,-43.1469883225488
26.5,36.9704182261104,-45.3213933796073
27,37.1913427288678,-48.1503920116781
27.5,37.450371876422,-50.5664108215666
28,37.7218622009216,-51.6660905555091
28.5,37.9799465635241,-51.0524455392926
29,38.2008016870794,-48.9834405580639
29.5,38.3646674944234,-46.2705389313805
30,38.4575097137956,-43.9662485195722
30.5,38.4722184810113,-42.9602338248246
31,38.4092318226486,-43.6384144401558
31.5,38.2764839975631,-45.735328263583
32,38.0886211036074,-48.4361318619944
32.5,37.8655045972803,-50.6891779378328
33,37.6301263136193,-51.6096102519771
33.5,37.4061620349672,-50.8196034205628
34,37.2154653015975,-48.5950497745764
34.5,37.0758248636077,-45.7624253915429
35,36.9992679946891,-43.3850128057579
35.5,36.9910961726419,-42.358158767703
36,37.0497136901402,-43.0680482720188
36.5,37.1671858759206,-45.2442812701423
37,37.3303713067709,-48.0625808784112
37.5,37.5224289102961,-50.458484089363
38,37.7245062825243,-51.5323312733137
38.5,37.9174543104766,-50.8910358896742
39,38.0834612391663,-48.7962834419001
39.5,38.2075340627012,-46.0627463793849
40,38.2787643283831,-43.7453684122423
40.5,38.2913017020177,-42.735305012513
41,38.2449376377052,-43.4189497414107
41.5,38.1451949166109,-45.5303247262492
42,38.0028446872925,-48.253198670998
42.5,37.8328368923077,-50.5338557612624
43,37.6527226657678,-51.4849335432442
43.5,37.4807450515237,-50.7259315514351
44,37.3338482362108,-48.5301663556065
44.5,37.2258811891162,-45.7218801902817
45,37.166238665079,-43.3626594842787
45.5,37.1590983954788,-42.3468259686011
46,37.2033010907487,-43.0602725420972
46.5,37.2928105445375,-45.2330284169667
47,37.4176128145556,-48.0418874219416
47.5,37.5648821156751,-50.4239616816101
48,37.7202557151327,-51.481492966572
48.5,37.8691044419435,-50.8234222085092
49,37.9977349559276,-48.7133864199288
49.5,38.0944920662575,-45.9677491058186
50,38.150732295992,-43.6427344072709
50.5,38.1616168452788,-42.630264452686
51,38.1266397627891,-43.3169371726188
51.5,38.049788309016,-45.4364249442195
52,37.9392463846258,-48.1716539773861
52.5,37.8066055565803,-50.4676793976146
53,37.6656326624704,-51.4356617884333
53.5,37.5307355332801,-50.6935320913813
54,37.4153404610331,-48.5131046335273
54.5,37.3304224879787,-45.7173300894709
55,37.2834016533168,-43.3668313328396
55.5,37.2775418736012,-42.3553746836034
56,37.3118864764357,-43.0687425903904
56.5,37.3816655357573,-45.2372905805128
57,37.4790422043636,-48.0385250914142
57.5,37.5940431839103,-50.4105711135147
58,37.7155404830169,-51.4568718127143
58.5,37.8322007207894,-50.7876325777514
59,37.9333695968468,-48.667691520322
59.5,38.0098900778936,-45.9144348694427
60,38.0548516954034,-43.5848382425158
